GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
esprithub,tn.esprit.esprithub.controllers,VisitRestController,56,0,0,0,12,0,10,0,10,0
esprithub,tn.esprit.esprithub.controllers,EmailController,16,0,0,0,5,0,2,0,2,0
esprithub,tn.esprit.esprithub.controllers,ArticleController,327,0,10,0,75,0,23,0,18,0
esprithub,tn.esprit.esprithub.controllers,UserRestController,43,0,0,0,10,0,8,0,8,0
esprithub,tn.esprit.esprithub.controllers,AuthenticationRestController,24,0,0,0,6,0,4,0,4,0
esprithub,tn.esprit.esprithub.controllers,BasketController,47,0,2,0,11,0,6,0,5,0
esprithub,tn.esprit.esprithub.controllers,InternshipRestController,222,0,8,0,67,0,15,0,11,0
esprithub,tn.esprit.esprithub.controllers,ReservationRestController,421,0,56,0,111,0,57,0,29,0
esprithub,tn.esprit.esprithub.controllers,TransactionRestController,51,0,2,0,12,0,10,0,9,0
esprithub,tn.esprit.esprithub.controllers,SportTeamRestController,229,0,6,0,56,0,26,0,23,0
esprithub,tn.esprit.esprithub.controllers,StripeController,76,0,2,0,27,0,5,0,4,0
esprithub,tn.esprit.esprithub.controllers,FieldRestController,36,0,0,0,8,0,6,0,6,0
esprithub,tn.esprit.esprithub.controllers,HousingRestController,390,0,10,0,94,0,21,0,16,0
esprithub,tn.esprit.esprithub.controllers,FreelanceJobRestController,41,0,2,0,10,0,7,0,6,0
esprithub,tn.esprit.esprithub.controllers,GeocodingController,3,0,0,0,1,0,1,0,1,0
esprithub,tn.esprit.esprithub.controllers,WeatherController,35,0,2,0,9,0,6,0,5,0
esprithub,tn.esprit.esprithub.controllers,GeocodingController.GeocodeController,111,0,2,0,25,0,5,0,4,0
esprithub,tn.esprit.esprithub.controllers,feedBackRestController,58,0,4,0,15,0,9,0,7,0
esprithub,tn.esprit.esprithub.handler,ExceptionResponse,60,0,0,0,9,0,13,0,13,0
esprithub,tn.esprit.esprithub.handler,BusinessErrorCodes,80,0,0,0,15,0,5,0,5,0
esprithub,tn.esprit.esprithub.handler,ExceptionResponse.ExceptionResponseBuilder,54,0,0,0,1,0,8,0,8,0
esprithub,tn.esprit.esprithub.handler,GlobalExceptionHandler,97,0,0,0,50,0,8,0,8,0
esprithub,tn.esprit.esprithub.DTO,transactionFeedback,42,0,0,0,18,0,8,0,8,0
esprithub,tn.esprit.esprithub.DTO,statisticsfeedbacks,53,0,0,0,22,0,11,0,11,0
esprithub,tn.esprit.esprithub.DTO,bannedUser,36,0,0,0,6,0,8,0,8,0
esprithub,tn.esprit.esprithub.DTO,statisticsTransaction,123,0,0,0,50,0,25,0,25,0
esprithub,tn.esprit.esprithub.requestsresponses,RegistrationRequest.RegistrationRequestBuilder,63,0,0,0,1,0,9,0,9,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationResponse,17,0,0,0,3,0,4,0,4,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationRequest,27,0,0,0,4,0,6,0,6,0
esprithub,tn.esprit.esprithub.requestsresponses,RegistrationRequest,67,0,0,0,8,0,14,0,14,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationResponse.AuthenticationResponseBuilder,18,0,0,0,1,0,4,0,4,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationRequest.AuthenticationRequestBuilder,27,0,0,0,1,0,5,0,5,0
esprithub,tn.esprit.esprithub.config,WebConfig,45,0,0,0,8,0,2,0,2,0
esprithub,tn.esprit.esprithub.config,BeansConfig,27,0,0,0,7,0,4,0,4,0
esprithub,tn.esprit.esprithub.config,EmailTemplateName,21,0,0,0,6,0,3,0,3,0
esprithub,tn.esprit.esprithub.services,transactionServices,583,0,72,0,109,0,47,0,11,0
esprithub,tn.esprit.esprithub.services,GeocodingService,107,0,12,0,22,0,9,0,3,0
esprithub,tn.esprit.esprithub.services,RecommendHousing,85,0,6,0,22,0,6,0,3,0
esprithub,tn.esprit.esprithub.services,ReservationService,744,100,64,10,153,19,70,7,38,2
esprithub,tn.esprit.esprithub.services,UserService,83,0,4,0,19,0,12,0,10,0
esprithub,tn.esprit.esprithub.services,AuthenticationService,227,0,4,0,56,0,11,0,9,0
esprithub,tn.esprit.esprithub.services,InternshipService,215,0,16,0,49,0,21,0,13,0
esprithub,tn.esprit.esprithub.services,FieldService,35,0,0,0,7,0,6,0,6,0
esprithub,tn.esprit.esprithub.services,feedBackServices,134,0,16,0,29,0,15,0,7,0
esprithub,tn.esprit.esprithub.services,FreelanceJobService,50,0,2,0,13,0,7,0,6,0
esprithub,tn.esprit.esprithub.services,EmailService,97,0,2,0,26,0,4,0,3,0
esprithub,tn.esprit.esprithub.services,ArticleServices,223,0,28,0,53,0,33,0,19,0
esprithub,tn.esprit.esprithub.services,ComplaintService,35,0,0,0,7,0,6,0,6,0
esprithub,tn.esprit.esprithub.services,MyWebConfig,20,0,0,0,4,0,2,0,2,0
esprithub,tn.esprit.esprithub.services,SportTeamService,829,0,72,0,185,0,62,0,26,0
esprithub,tn.esprit.esprithub.services,VisitServices,391,0,42,0,87,0,35,0,14,0
esprithub,tn.esprit.esprithub.services,WeatherService,252,0,18,0,71,0,15,0,6,0
esprithub,tn.esprit.esprithub.services,HousingServices,190,0,10,0,46,0,19,0,14,0
esprithub,tn.esprit.esprithub.services,BasketServices,116,0,4,0,27,0,10,0,8,0
esprithub,tn.esprit.esprithub,esprithubApplication,12,0,0,0,4,0,3,0,3,0
esprithub,tn.esprit.esprithub.mailRequest,MailRequest,24,0,0,0,10,0,7,0,7,0
esprithub,tn.esprit.esprithub.security,UserDetailsServiceImpl,19,0,0,0,3,0,3,0,3,0
esprithub,tn.esprit.esprithub.security,SecurityConfig,102,0,0,0,13,0,4,0,4,0
esprithub,tn.esprit.esprithub.security,JwtService,113,0,4,0,32,0,12,0,10,0
esprithub,tn.esprit.esprithub.security,JwtFilter,103,0,18,0,23,0,11,0,2,0
esprithub,tn.esprit.esprithub.entities,Visit,66,0,0,0,9,0,14,0,14,0
esprithub,tn.esprit.esprithub.entities,Participants,36,0,0,0,6,0,8,0,8,0
esprithub,tn.esprit.esprithub.entities,Location,26,0,0,0,5,0,6,0,6,0
esprithub,tn.esprit.esprithub.entities,DistanceCalculator,67,0,0,0,13,0,2,0,2,0
esprithub,tn.esprit.esprithub.entities,Mycondition,21,0,0,0,2,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,Geometry,16,0,0,0,4,0,4,0,4,0
esprithub,tn.esprit.esprithub.entities,Filee,66,0,0,0,9,0,14,0,14,0
esprithub,tn.esprit.esprithub.entities,TypeR,15,0,0,0,2,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,Internship,161,0,0,0,20,0,31,0,31,0
esprithub,tn.esprit.esprithub.entities,TypeH,15,0,0,0,2,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,User.UserBuilder,195,75,0,0,0,1,28,4,28,4
esprithub,tn.esprit.esprithub.entities,TypeF,39,0,0,0,2,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,checkoutPaymentRequest,52,0,0,0,22,0,15,0,15,0
esprithub,tn.esprit.esprithub.entities,Cstatus,15,0,0,0,2,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,Token,70,0,0,0,10,0,15,0,15,0
esprithub,tn.esprit.esprithub.entities,Event,106,0,0,0,13,0,22,0,22,0
esprithub,tn.esprit.esprithub.entities,CheckoutPayment,45,0,0,0,19,0,13,0,13,0
esprithub,tn.esprit.esprithub.entities,GeocodingResponse,26,0,0,0,5,0,6,0,6,0
esprithub,tn.esprit.esprithub.entities,FreelanceJob,106,0,0,0,13,0,22,0,22,0
esprithub,tn.esprit.esprithub.entities,User,222,129,2,0,32,9,62,6,61,6
esprithub,tn.esprit.esprithub.entities,Complaint,46,0,0,0,7,0,10,0,10,0
esprithub,tn.esprit.esprithub.entities,Estatus,21,0,0,0,2,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,Rstatus,0,27,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Reservation.ReservationBuilder,48,33,0,0,0,1,7,4,7,4
esprithub,tn.esprit.esprithub.entities,Result,16,0,0,0,4,0,4,0,4,0
esprithub,tn.esprit.esprithub.entities,Mycategory,27,0,0,0,2,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,AvailabilityTimeSlot,58,0,0,0,12,0,11,0,11,0
esprithub,tn.esprit.esprithub.entities,GeocodeLocation,17,0,0,0,5,0,5,0,5,0
esprithub,tn.esprit.esprithub.entities,SportTeam,28,32,0,0,4,5,8,5,8,5
esprithub,tn.esprit.esprithub.entities,GeocodeGeometry,10,0,0,0,4,0,3,0,3,0
esprithub,tn.esprit.esprithub.entities,Badge,0,27,0,0,0,5,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Token.TokenBuilder,63,0,0,0,1,0,9,0,9,0
esprithub,tn.esprit.esprithub.entities,Article,96,0,0,0,12,0,20,0,20,0
esprithub,tn.esprit.esprithub.entities,Field,80,0,0,0,11,0,17,0,17,0
esprithub,tn.esprit.esprithub.entities,Feedback,56,0,0,0,8,0,12,0,12,0
esprithub,tn.esprit.esprithub.entities,Housing,136,0,0,0,16,0,26,0,26,0
esprithub,tn.esprit.esprithub.entities,SportTeam.SportTeamBuilder,32,22,0,0,0,1,5,3,5,3
esprithub,tn.esprit.esprithub.entities,GeocodeObject,31,0,0,0,7,0,9,0,9,0
esprithub,tn.esprit.esprithub.entities,Field.FieldBuilder,72,0,0,0,1,0,10,0,10,0
esprithub,tn.esprit.esprithub.entities,Reservation,85,46,2,0,12,6,18,3,17,3
esprithub,tn.esprit.esprithub.entities,Roles,33,0,0,0,6,0,1,0,1,0
esprithub,tn.esprit.esprithub.entities,TransactionRequest,76,0,0,0,10,0,16,0,16,0
esprithub,tn.esprit.esprithub.entities,Transaction,118,0,0,0,26,0,18,0,18,0
