GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
esprithub,tn.esprit.esprithub.controllers,VisitRestController,53,3,0,0,11,1,9,1,9,1
esprithub,tn.esprit.esprithub.controllers,EmailController,13,3,0,0,4,1,1,1,1,1
esprithub,tn.esprit.esprithub.controllers,ArticleController,309,18,10,0,73,2,22,1,17,1
esprithub,tn.esprit.esprithub.controllers,UserRestController,37,6,0,0,9,1,7,1,7,1
esprithub,tn.esprit.esprithub.controllers,AuthenticationRestController,18,6,0,0,5,1,3,1,3,1
esprithub,tn.esprit.esprithub.controllers,BasketController,38,9,2,0,10,1,5,1,4,1
esprithub,tn.esprit.esprithub.controllers,InternshipRestController,207,15,8,0,61,6,14,1,10,1
esprithub,tn.esprit.esprithub.controllers,ReservationRestController,415,6,56,0,110,1,56,1,28,1
esprithub,tn.esprit.esprithub.controllers,TransactionRestController,45,6,2,0,11,1,9,1,8,1
esprithub,tn.esprit.esprithub.controllers,SportTeamRestController,223,6,6,0,55,1,25,1,22,1
esprithub,tn.esprit.esprithub.controllers,StripeController,68,8,2,0,25,2,3,2,2,2
esprithub,tn.esprit.esprithub.controllers,FieldRestController,30,6,0,0,7,1,5,1,5,1
esprithub,tn.esprit.esprithub.controllers,HousingRestController,384,6,10,0,92,2,19,2,14,2
esprithub,tn.esprit.esprithub.controllers,FreelanceJobRestController,35,6,2,0,9,1,6,1,5,1
esprithub,tn.esprit.esprithub.controllers,GeocodingController,0,3,0,0,0,1,0,1,0,1
esprithub,tn.esprit.esprithub.controllers,WeatherController,32,3,2,0,8,1,5,1,4,1
esprithub,tn.esprit.esprithub.controllers,GeocodingController.GeocodeController,105,6,2,0,24,1,4,1,3,1
esprithub,tn.esprit.esprithub.controllers,feedBackRestController,52,6,4,0,14,1,8,1,6,1
esprithub,tn.esprit.esprithub.handler,ExceptionResponse,60,0,0,0,9,0,13,0,13,0
esprithub,tn.esprit.esprithub.handler,BusinessErrorCodes,80,0,0,0,15,0,5,0,5,0
esprithub,tn.esprit.esprithub.handler,ExceptionResponse.ExceptionResponseBuilder,54,0,0,0,1,0,8,0,8,0
esprithub,tn.esprit.esprithub.handler,GlobalExceptionHandler,94,3,0,0,49,1,7,1,7,1
esprithub,tn.esprit.esprithub.DTO,transactionFeedback,42,0,0,0,18,0,8,0,8,0
esprithub,tn.esprit.esprithub.DTO,statisticsfeedbacks,53,0,0,0,22,0,11,0,11,0
esprithub,tn.esprit.esprithub.DTO,bannedUser,36,0,0,0,6,0,8,0,8,0
esprithub,tn.esprit.esprithub.DTO,statisticsTransaction,123,0,0,0,50,0,25,0,25,0
esprithub,tn.esprit.esprithub.requestsresponses,RegistrationRequest.RegistrationRequestBuilder,63,0,0,0,1,0,9,0,9,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationResponse,17,0,0,0,3,0,4,0,4,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationRequest,27,0,0,0,4,0,6,0,6,0
esprithub,tn.esprit.esprithub.requestsresponses,RegistrationRequest,67,0,0,0,8,0,14,0,14,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationResponse.AuthenticationResponseBuilder,18,0,0,0,1,0,4,0,4,0
esprithub,tn.esprit.esprithub.requestsresponses,AuthenticationRequest.AuthenticationRequestBuilder,27,0,0,0,1,0,5,0,5,0
esprithub,tn.esprit.esprithub.config,WebConfig,0,45,0,0,0,8,0,2,0,2
esprithub,tn.esprit.esprithub.config,BeansConfig,0,27,0,0,0,7,0,4,0,4
esprithub,tn.esprit.esprithub.config,EmailTemplateName,21,0,0,0,6,0,3,0,3,0
esprithub,tn.esprit.esprithub.services,transactionServices,562,21,72,0,108,1,46,1,10,1
esprithub,tn.esprit.esprithub.services,GeocodingService,101,6,12,0,19,3,8,1,2,1
esprithub,tn.esprit.esprithub.services,RecommendHousing,75,10,6,0,19,3,4,2,1,2
esprithub,tn.esprit.esprithub.services,ReservationService,744,100,64,10,153,19,70,7,38,2
esprithub,tn.esprit.esprithub.services,UserService,77,6,4,0,18,1,11,1,9,1
esprithub,tn.esprit.esprithub.services,AuthenticationService,206,21,4,0,55,1,10,1,8,1
esprithub,tn.esprit.esprithub.services,InternshipService,209,6,16,0,46,3,20,1,12,1
esprithub,tn.esprit.esprithub.services,FieldService,29,6,0,0,6,1,5,1,5,1
esprithub,tn.esprit.esprithub.services,feedBackServices,125,9,16,0,28,1,14,1,6,1
esprithub,tn.esprit.esprithub.services,FreelanceJobService,44,6,2,0,10,3,6,1,5,1
esprithub,tn.esprit.esprithub.services,EmailService,88,9,2,0,25,1,3,1,2,1
esprithub,tn.esprit.esprithub.services,ArticleServices,214,9,28,0,52,1,32,1,18,1
esprithub,tn.esprit.esprithub.services,ComplaintService,29,6,0,0,6,1,5,1,5,1
esprithub,tn.esprit.esprithub.services,MyWebConfig,0,20,0,0,0,4,0,2,0,2
esprithub,tn.esprit.esprithub.services,SportTeamService,808,21,72,0,184,1,61,1,25,1
esprithub,tn.esprit.esprithub.services,VisitServices,376,15,42,0,86,1,34,1,13,1
esprithub,tn.esprit.esprithub.services,WeatherService,240,12,18,0,67,4,14,1,5,1
esprithub,tn.esprit.esprithub.services,HousingServices,183,7,10,0,44,2,17,2,12,2
esprithub,tn.esprit.esprithub.services,BasketServices,103,13,4,0,24,3,9,1,7,1
esprithub,tn.esprit.esprithub,esprithubApplication,5,7,0,0,2,2,1,2,1,2
esprithub,tn.esprit.esprithub.mailRequest,MailRequest,24,0,0,0,10,0,7,0,7,0
esprithub,tn.esprit.esprithub.security,UserDetailsServiceImpl,13,6,0,0,2,1,2,1,2,1
esprithub,tn.esprit.esprithub.security,SecurityConfig,0,102,0,0,0,13,0,4,0,4
esprithub,tn.esprit.esprithub.security,JwtService,104,9,4,0,29,3,11,1,9,1
esprithub,tn.esprit.esprithub.security,JwtFilter,94,9,18,0,22,1,10,1,1,1
esprithub,tn.esprit.esprithub.entities,Visit,63,3,0,0,8,1,13,1,13,1
esprithub,tn.esprit.esprithub.entities,Participants,33,3,0,0,5,1,7,1,7,1
esprithub,tn.esprit.esprithub.entities,Location,26,0,0,0,5,0,6,0,6,0
esprithub,tn.esprit.esprithub.entities,DistanceCalculator,67,0,0,0,13,0,2,0,2,0
esprithub,tn.esprit.esprithub.entities,Mycondition,0,21,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Geometry,16,0,0,0,4,0,4,0,4,0
esprithub,tn.esprit.esprithub.entities,Filee,63,3,0,0,8,1,13,1,13,1
esprithub,tn.esprit.esprithub.entities,TypeR,0,15,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Internship,153,8,0,0,18,2,30,1,30,1
esprithub,tn.esprit.esprithub.entities,TypeH,0,15,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,User.UserBuilder,195,75,0,0,0,1,28,4,28,4
esprithub,tn.esprit.esprithub.entities,TypeF,0,39,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,checkoutPaymentRequest,52,0,0,0,22,0,15,0,15,0
esprithub,tn.esprit.esprithub.entities,Cstatus,0,15,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Token,67,3,0,0,9,1,14,1,14,1
esprithub,tn.esprit.esprithub.entities,Event,103,3,0,0,12,1,21,1,21,1
esprithub,tn.esprit.esprithub.entities,CheckoutPayment,45,0,0,0,19,0,13,0,13,0
esprithub,tn.esprit.esprithub.entities,GeocodingResponse,26,0,0,0,5,0,6,0,6,0
esprithub,tn.esprit.esprithub.entities,FreelanceJob,103,3,0,0,12,1,21,1,21,1
esprithub,tn.esprit.esprithub.entities,User,207,144,2,0,31,10,58,10,57,10
esprithub,tn.esprit.esprithub.entities,Complaint,43,3,0,0,6,1,9,1,9,1
esprithub,tn.esprit.esprithub.entities,Estatus,0,21,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Rstatus,0,27,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Reservation.ReservationBuilder,48,33,0,0,0,1,7,4,7,4
esprithub,tn.esprit.esprithub.entities,Result,16,0,0,0,4,0,4,0,4,0
esprithub,tn.esprit.esprithub.entities,Mycategory,0,27,0,0,0,2,0,1,0,1
esprithub,tn.esprit.esprithub.entities,AvailabilityTimeSlot,55,3,0,0,11,1,10,1,10,1
esprithub,tn.esprit.esprithub.entities,GeocodeLocation,17,0,0,0,5,0,5,0,5,0
esprithub,tn.esprit.esprithub.entities,SportTeam,21,39,0,0,3,6,6,7,6,7
esprithub,tn.esprit.esprithub.entities,GeocodeGeometry,10,0,0,0,4,0,3,0,3,0
esprithub,tn.esprit.esprithub.entities,Badge,0,27,0,0,0,5,0,1,0,1
esprithub,tn.esprit.esprithub.entities,Token.TokenBuilder,63,0,0,0,1,0,9,0,9,0
